"","GrLivArea","Neighborhood","OverallQual","TotalBsmtSF","LotArea","BsmtFinSF1","ExterQual","MSZoning","MSSubClass","KitchenQual","OverallCond","KitchenAbvGr","BedroomAbvGr","MasVnrArea","GarageQual","SalePrice"
"42",1328,"Timber",5,1350,16905,967,"TA","RL",20,"TA",6,1,2,0,"TA",170000
"43",884,"SawyerW",5,840,9180,747,"TA","RL",85,"Gd",7,1,2,0,"TA",144000
"44",938,"CollgCr",5,938,9200,280,"TA","RL",20,"TA",6,1,3,0,"TA",130250
"45",1150,"NAmes",5,1150,7945,179,"TA","RL",20,"TA",6,1,3,0,"TA",141000
"46",1752,"NridgHt",9,1752,7658,456,"Ex","RL",120,"Ex",5,1,2,412,"TA",319900
"47",2149,"Mitchel",7,1434,12822,1351,"Gd","RL",50,"Gd",5,1,1,0,"TA",239686
"48",1656,"Somerst",8,1656,11096,24,"Gd","FV",20,"Gd",5,1,3,0,"TA",249700
"49",1452,"OldTown",4,736,4456,0,"TA","RM",190,"TA",5,3,2,0,"",113000
"50",955,"Sawyer",5,955,7742,763,"TA","RL",20,"TA",7,1,3,0,"TA",127000
"51",1470,"Gilbert",6,794,13869,182,"TA","RL",60,"TA",6,1,3,0,"TA",177000
"52",1176,"BrkSide",6,816,6240,0,"TA","RM",50,"TA",6,1,3,0,"TA",114500
"53",816,"IDOTRR",5,816,8472,104,"Fa","RM",90,"TA",5,1,2,0,"TA",110000
"54",1842,"Veenker",9,1842,50271,1810,"Gd","RL",20,"Gd",5,1,0,0,"TA",385000
"55",1360,"NAmes",5,384,7134,384,"TA","RL",80,"TA",5,1,3,0,"TA",130000
"56",1425,"NAmes",6,1425,10175,490,"TA","RL",20,"TA",5,1,3,272,"TA",180500
"57",1739,"Somerst",8,970,2645,649,"Gd","FV",160,"Gd",5,1,3,456,"TA",172500
"58",1720,"CollgCr",7,860,11645,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",196500
"59",2945,"StoneBr",10,1410,13682,0,"Ex","RL",60,"Gd",5,1,3,1031,"TA",438780
"60",780,"CollgCr",5,780,7200,632,"TA","RL",20,"TA",7,1,2,0,"TA",124900
"61",1158,"SawyerW",6,1158,13072,941,"TA","RL",20,"Gd",5,1,3,0,"TA",158000
"62",1111,"IDOTRR",5,530,7200,0,"TA","RM",75,"Fa",7,1,3,0,"TA",101000
"63",1370,"NridgHt",8,1370,6442,24,"Gd","RL",120,"Gd",5,1,2,178,"TA",202500
"64",1710,"OldTown",7,576,10300,0,"TA","RM",70,"TA",6,1,3,0,"TA",140000
"65",2034,"CollgCr",7,1057,9375,739,"TA","RL",60,"Gd",5,1,3,573,"TA",219500
"66",2473,"NridgHt",8,1143,9591,0,"Gd","RL",60,"Gd",5,1,4,344,"TA",317000
"67",2207,"NAmes",7,1947,19900,912,"TA","RL",20,"TA",5,1,3,287,"TA",180000
"68",1479,"CollgCr",7,1453,10665,1013,"Gd","RL",20,"Gd",5,1,3,167,"TA",226000
"69",747,"OldTown",4,747,4608,0,"TA","RM",30,"TA",6,1,2,0,"TA",80000
"70",2287,"ClearCr",7,1304,15593,603,"Gd","RL",50,"TA",4,1,3,0,"TA",225000
"71",2223,"NAmes",7,2223,13651,1880,"TA","RL",20,"TA",6,1,3,1115,"TA",244000
"72",845,"Mitchel",4,845,7599,565,"TA","RL",20,"TA",6,1,2,0,"TA",129500
"73",1718,"Gilbert",7,832,10141,0,"TA","RL",60,"TA",5,1,3,40,"TA",185000
"74",1086,"NAmes",5,1086,10200,320,"TA","RL",20,"TA",7,1,3,104,"TA",144900
"75",1605,"OldTown",3,840,5790,0,"Gd","RM",50,"TA",6,2,3,0,"TA",107400
"76",988,"MeadowV",4,462,1596,462,"TA","RM",180,"TA",5,1,2,0,"TA",91000
"77",952,"NAmes",4,952,8475,228,"TA","RL",20,"TA",7,1,2,0,"TA",135750
"78",1285,"BrkSide",5,672,8635,336,"TA","RM",50,"TA",5,1,2,0,"TA",127000
"79",1768,"Sawyer",4,1768,10778,0,"TA","RL",90,"TA",5,2,4,0,"",136500
"80",1230,"OldTown",5,440,10440,0,"TA","RM",50,"TA",6,1,2,0,"TA",110000
"81",2142,"NAmes",6,896,13000,448,"TA","RL",60,"Gd",6,1,4,576,"TA",193500
"82",1337,"Mitchel",6,1237,4500,1201,"TA","RM",120,"TA",5,1,2,443,"TA",153500
"83",1563,"Somerst",8,1563,10206,33,"TA","RL",20,"Gd",5,1,3,468,"TA",245000
"84",1065,"NAmes",5,1065,8892,0,"TA","RL",20,"TA",5,1,3,66,"TA",126500
"85",1474,"Gilbert",7,384,8530,0,"TA","RL",80,"TA",5,1,3,22,"TA",168500
"86",2417,"NoRidge",8,1288,16059,0,"Gd","RL",60,"Gd",5,1,4,284,"TA",260000
"87",1560,"Gilbert",6,684,11911,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",174000
"88",1224,"Somerst",6,612,3951,0,"Gd","FV",160,"Gd",5,1,2,76,"TA",164500
"89",1526,"IDOTRR",3,1013,8470,0,"Fa","C (all)",50,"Fa",2,1,2,0,"",85000
"90",990,"CollgCr",4,990,8070,588,"TA","RL",20,"TA",5,1,3,0,"",123600
"91",1040,"NAmes",4,0,7200,0,"TA","RL",20,"TA",5,1,2,0,"TA",109900
"92",1235,"NAmes",5,1235,8500,600,"TA","RL",20,"TA",3,1,2,203,"TA",98600
"93",964,"Crawfor",5,876,13360,713,"TA","RL",30,"TA",7,1,2,0,"TA",163500
"94",2291,"OldTown",6,1214,7200,1046,"TA","C (all)",190,"TA",6,2,4,0,"TA",133900
"95",1786,"CollgCr",6,824,9337,648,"TA","RL",60,"Gd",5,1,3,0,"TA",204750
"96",1470,"Gilbert",6,680,9765,310,"Ex","RL",60,"TA",8,1,3,68,"TA",185000
"97",1588,"CollgCr",7,1588,10264,1162,"Gd","RL",20,"Gd",5,1,3,183,"TA",214000
"98",960,"Edwards",4,960,10921,520,"TA","RL",20,"TA",5,1,3,48,"TA",94750
"99",835,"Edwards",5,458,10625,108,"TA","RL",30,"TA",5,1,2,0,"Fa",83000
"100",1225,"NAmes",4,950,9320,569,"TA","RL",20,"TA",5,1,3,0,"",128950
"101",1610,"NWAmes",6,1610,10603,1200,"TA","RL",20,"Gd",7,1,3,28,"TA",205000
"102",1732,"SawyerW",6,741,9206,0,"Gd","RL",60,"Gd",5,1,3,336,"TA",178000
"103",1535,"SawyerW",5,0,7018,0,"TA","RL",90,"TA",5,2,4,0,"TA",118964
"104",1226,"CollgCr",7,1226,10402,0,"TA","RL",20,"Gd",5,1,3,0,"TA",198900
"105",1818,"IDOTRR",7,1040,7758,224,"TA","RM",50,"TA",4,1,4,600,"TA",169500
"106",1992,"Somerst",8,1053,9375,0,"Gd","FV",60,"Gd",5,1,3,768,"TA",250000
"107",1047,"OldTown",4,641,10800,0,"TA","RM",30,"TA",7,1,2,0,"Fa",100000
"108",789,"OldTown",5,789,6000,104,"TA","RM",20,"TA",5,1,2,0,"TA",115000
"109",1517,"IDOTRR",5,793,8500,0,"TA","RM",50,"Fa",7,1,3,0,"",115000
"110",1844,"NWAmes",6,1844,11751,705,"TA","RL",20,"TA",6,1,3,480,"TA",190000
"111",1855,"Edwards",6,994,9525,444,"TA","RL",50,"TA",4,1,4,0,"TA",136900
"112",1430,"Gilbert",7,384,7750,250,"TA","RL",80,"TA",5,1,3,0,"TA",180000
"113",2696,"CollgCr",7,1264,9965,984,"Gd","RL",60,"Ex",5,1,4,220,"TA",383970
"114",2259,"Crawfor",6,1809,21000,35,"TA","RL",20,"Gd",5,1,3,184,"TA",217000
"115",2320,"Crawfor",6,1028,7259,774,"TA","RL",70,"Gd",8,1,3,0,"TA",259500
"116",1458,"Somerst",6,729,3230,419,"TA","FV",160,"TA",5,1,2,1129,"TA",176000
"117",1092,"Sawyer",5,1092,11616,170,"TA","RL",20,"TA",5,1,3,116,"TA",139000
"118",1125,"Edwards",5,1125,8536,0,"TA","RL",20,"TA",5,1,2,0,"TA",155000
"119",3222,"SawyerW",7,1673,12376,1470,"TA","RL",60,"Gd",5,1,5,0,"TA",320000
"120",1456,"CollgCr",6,728,8461,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",163990
"121",988,"ClearCr",6,938,21453,938,"TA","RL",80,"TA",5,1,1,0,"TA",180000
"122",1123,"IDOTRR",4,732,6060,0,"TA","RM",50,"TA",5,1,3,0,"TA",100000
"123",1080,"NAmes",6,1080,9464,570,"TA","RL",20,"TA",7,1,3,135,"TA",136000
"124",1199,"SawyerW",6,1199,7892,300,"Gd","RL",120,"Gd",5,1,2,0,"TA",153900
"125",1586,"NWAmes",6,1362,17043,0,"TA","RL",20,"TA",5,1,3,0,"TA",181000
"126",754,"IDOTRR",6,520,6780,490,"TA","RM",190,"TA",8,1,2,0,"",84500
"127",958,"NPkVill",6,1078,4928,120,"TA","RL",120,"TA",5,1,2,0,"TA",128000
"128",840,"OldTown",5,672,4388,116,"TA","RM",45,"TA",7,1,3,0,"",87000
"129",1348,"NAmes",6,660,7590,512,"TA","RL",60,"TA",5,1,3,266,"TA",155000
"130",1053,"NAmes",5,1008,8973,567,"TA","RL",20,"Ex",7,1,3,85,"TA",150000
"131",2157,"NAmes",7,924,14200,445,"TA","RL",60,"Gd",6,1,4,309,"TA",226000
"132",2054,"Gilbert",6,992,12224,695,"Gd","RL",60,"Gd",5,1,3,40,"TA",244000
"133",1327,"NAmes",5,1063,7388,405,"TA","RL",20,"Gd",6,1,3,0,"TA",150750
"134",1296,"Timber",8,1267,6853,1005,"Gd","RL",20,"Gd",5,1,2,136,"TA",220000
"135",1721,"Sawyer",5,1461,10335,570,"TA","RL",20,"TA",6,1,3,0,"TA",180000
"136",1682,"NWAmes",7,1304,10400,0,"TA","RL",20,"TA",6,1,3,288,"TA",174000
"137",1214,"NAmes",5,1214,10355,695,"TA","RL",20,"TA",5,1,3,196,"TA",143000
"138",1959,"Mitchel",7,1907,11070,0,"TA","RL",90,"TA",5,2,5,70,"TA",171000
"139",1852,"CollgCr",8,1004,9066,668,"Gd","RL",60,"Gd",5,1,3,320,"TA",230000
"140",1764,"CollgCr",6,928,15426,821,"TA","RL",60,"Gd",5,1,3,0,"TA",231500
"141",864,"NAmes",4,864,10500,432,"TA","RL",20,"TA",5,1,3,0,"",115000
"142",1734,"CollgCr",7,1734,11645,1300,"Gd","RL",20,"Gd",5,1,3,0,"TA",260000
"143",1385,"NAmes",5,910,8520,507,"TA","RL",50,"TA",4,1,4,0,"TA",166000
"144",1501,"CollgCr",7,1490,10335,679,"Gd","RL",20,"Gd",5,1,3,183,"TA",204000
"145",1728,"Sawyer",5,1728,9100,1332,"TA","RM",90,"TA",5,2,6,336,"TA",125000
"146",1709,"Edwards",6,970,2522,0,"Gd","RM",160,"Gd",5,1,3,50,"TA",130000
"147",875,"BrkSide",5,715,6120,209,"TA","RM",30,"TA",7,1,2,0,"Fa",105000
"148",2035,"Gilbert",7,884,9505,0,"Gd","RL",60,"Gd",5,1,3,180,"TA",222500
"149",1080,"SawyerW",7,1080,7500,680,"TA","RL",20,"Gd",5,1,3,120,"",141000
"150",1344,"BrkSide",5,896,6240,0,"TA","RM",50,"TA",4,1,3,0,"Fa",115000
"151",969,"CollgCr",5,969,10356,716,"TA","RL",20,"TA",6,1,3,0,"TA",122000
"152",1710,"NridgHt",8,1710,13891,1400,"Gd","RL",20,"Gd",5,1,2,436,"TA",372402
"153",1993,"NWAmes",6,825,14803,416,"TA","RL",60,"TA",5,1,4,252,"TA",190000
"154",1252,"ClearCr",6,1602,13500,429,"TA","RL",20,"TA",7,1,1,0,"TA",235000
"155",1200,"OldTown",6,1200,11340,0,"TA","RM",30,"TA",5,1,4,0,"Fa",125000
"156",1096,"Edwards",6,572,9600,0,"TA","RL",50,"TA",5,1,2,0,"",79000
"157",1040,"NAmes",5,0,7200,0,"TA","RL",20,"TA",7,1,2,0,"TA",109500
"158",1968,"Timber",8,774,12003,0,"Gd","RL",60,"Ex",5,1,4,84,"TA",269500
"159",1947,"Somerst",7,991,12552,222,"Gd","FV",60,"Gd",5,1,3,0,"TA",254900
"160",2462,"Gilbert",7,1392,19378,57,"Gd","RL",60,"Gd",5,1,4,456,"TA",320000
"161",1232,"Veenker",6,1232,11120,660,"TA","RL",20,"TA",6,1,3,0,"TA",162500
"162",2668,"NridgHt",9,1572,13688,1016,"Gd","RL",60,"Ex",5,1,3,664,"TA",412500
"163",1541,"NridgHt",7,1541,12182,1201,"Gd","RL",20,"Gd",5,1,3,226,"TA",220000
"164",882,"OldTown",4,882,5500,0,"TA","RL",45,"TA",6,1,1,0,"",103200
"165",1616,"OldTown",6,1149,5400,370,"TA","RM",40,"Gd",7,1,3,0,"TA",152000
"166",1355,"Edwards",5,644,10106,351,"TA","RL",190,"TA",7,2,4,0,"",127500
"167",1867,"ClearCr",5,1617,10708,379,"Gd","RL",20,"TA",5,1,2,0,"TA",190000
"168",2161,"NridgHt",8,1582,10562,1288,"Gd","RL",60,"Ex",5,1,3,300,"TA",325624
"169",1720,"Gilbert",7,840,8244,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",183500
"170",1707,"Timber",8,1686,16669,0,"Gd","RL",20,"TA",6,1,2,653,"TA",228000
"171",1382,"OldTown",5,720,12358,360,"TA","RM",50,"TA",6,1,2,0,"TA",128500
"172",1656,"NAmes",6,1080,31770,639,"TA","RL",20,"TA",5,1,3,112,"TA",215000
"173",1767,"StoneBr",7,1064,5306,495,"Gd","RL",160,"Gd",7,1,2,0,"Gd",239000
"174",1362,"NAmes",6,1362,10197,288,"TA","RL",20,"TA",5,1,3,491,"TA",163000
"175",1651,"Timber",6,1606,12416,1398,"TA","RL",20,"TA",5,1,3,132,"TA",184000
"176",2158,"Edwards",6,1202,12615,477,"TA","RL",20,"Gd",7,1,4,0,"TA",243000
"177",2060,"ClearCr",6,1151,10029,831,"Gd","RL",60,"TA",5,1,4,268,"TA",211000
"178",1920,"Sawyer",5,1052,13650,57,"Gd","RL",50,"Gd",5,1,4,0,"TA",172500
"179",2234,"StoneBr",9,2216,17423,1904,"Ex","RL",20,"Ex",5,1,1,748,"TA",501837
"180",968,"OldTown",5,968,8520,0,"Gd","RM",30,"TA",6,1,2,0,"Fa",100000
"181",1525,"Somerst",6,756,2117,436,"Gd","FV",160,"Gd",5,1,3,456,"TA",177000
"182",1802,"Crawfor",7,793,7588,352,"TA","RL",70,"TA",6,1,4,0,"Fa",200100
"183",1340,"Edwards",5,0,9060,0,"TA","RL",20,"TA",6,1,3,98,"TA",120000
"184",2082,"OldTown",7,1362,11426,0,"TA","RM",50,"Gd",5,1,3,0,"TA",200000
"185",1252,"BrkSide",5,504,7438,0,"TA","RL",50,"TA",8,1,3,0,"TA",127000
"186",3608,"OldTown",10,1107,22950,0,"Gd","RM",75,"Ex",9,1,4,0,"Ex",475000
"187",1217,"Mitchel",7,1188,9947,611,"TA","RL",80,"Gd",5,1,3,0,"TA",173000
"188",1656,"OldTown",5,660,10410,0,"TA","RL",50,"TA",7,1,3,0,"Fa",135000
"189",1224,"SawyerW",5,1086,7018,1086,"TA","RL",90,"TA",5,2,2,275,"TA",153337
"190",1593,"StoneBr",8,1593,4923,1153,"Gd","RL",120,"Ex",5,1,0,0,"TA",286000
"191",2727,"Crawfor",8,853,10570,297,"Gd","RL",70,"Gd",8,1,3,0,"TA",315000
"192",1479,"NAmes",7,725,7472,626,"TA","RL",60,"Gd",9,1,4,138,"TA",184000
"193",1431,"CollgCr",7,1431,9017,560,"Gd","RL",20,"Gd",5,1,3,0,"TA",192000
"194",1709,"Edwards",7,970,2522,0,"Gd","RM",160,"Gd",5,1,3,50,"TA",130000
"195",864,"CollgCr",5,864,7180,390,"TA","RL",20,"TA",7,1,3,0,"TA",127000
"196",1456,"NPkVill",6,855,2280,566,"TA","RL",160,"TA",6,1,3,0,"TA",148500
"197",1726,"Somerst",7,1726,9416,1126,"Ex","RL",20,"Ex",5,1,3,205,"TA",311872
"198",3112,"NAmes",8,1360,25419,1036,"Gd","RL",75,"Gd",4,1,4,0,"TA",235000
"199",2229,"OldTown",6,755,5520,0,"TA","RM",75,"TA",6,1,5,0,"",104000
"200",1713,"NridgHt",8,1713,9591,1088,"Gd","RL",20,"Ex",5,1,3,262,"TA",274900
"201",1121,"Edwards",4,1121,8546,0,"TA","RM",20,"TA",5,1,2,0,"TA",140000
"202",1279,"Mitchel",6,1196,10125,641,"TA","RL",20,"TA",6,1,3,0,"TA",171500
"203",1310,"OldTown",6,617,7000,617,"TA","RL",50,"TA",6,1,2,0,"TA",112000
"204",848,"CollgCr",6,848,4438,662,"Gd","RM",120,"Gd",5,1,1,205,"TA",149000
"205",1284,"OldTown",5,720,3500,312,"TA","RM",50,"TA",7,1,2,0,"TA",110000
"206",1442,"Gilbert",7,1424,11851,0,"TA","RL",20,"TA",5,1,3,0,"TA",180500
"207",1696,"Sawyer",5,1140,13673,0,"TA","RL",20,"TA",5,1,3,0,"TA",143900
"208",1100,"NAmes",4,1100,12493,419,"TA","RL",20,"TA",5,1,3,0,"TA",141000
"209",2062,"SawyerW",7,1157,14364,1065,"Gd","RL",60,"TA",5,1,3,128,"TA",277000
"210",1092,"NAmes",6,1092,8250,787,"TA","RL",20,"TA",7,1,3,260,"TA",145000
"211",864,"Edwards",5,864,5604,468,"TA","RL",30,"TA",6,1,2,0,"",98000
"212",1212,"Edwards",6,1212,10420,36,"TA","RL",20,"Gd",5,1,3,0,"TA",186000
"213",1852,"Somerst",7,900,8640,822,"TA","FV",60,"Gd",5,1,3,0,"TA",252678
"214",990,"CollgCr",5,990,13568,716,"TA","RL",20,"TA",5,1,3,0,"TA",156000
"215",1392,"CollgCr",6,689,10900,378,"TA","RL",60,"TA",7,1,3,153,"TA",161750
"216",1236,"NAmes",5,1070,10011,360,"TA","RL",20,"Gd",6,1,2,64,"TA",134450
"217",1436,"CollgCr",7,1436,8450,946,"Gd","RL",20,"Gd",5,1,3,266,"TA",210000
"218",1328,"OldTown",4,686,9906,0,"TA","RM",70,"TA",4,1,3,0,"TA",107000
"219",1954,"Crawfor",7,798,15660,341,"Gd","RL",50,"Gd",9,1,3,312,"TA",311500
"220",1248,"Blmngtn",7,1248,3010,16,"Gd","RL",120,"Gd",5,1,2,16,"TA",167240
"221",1498,"CollgCr",7,1498,8990,0,"Gd","RL",20,"Gd",5,1,2,0,"TA",204900
"222",2267,"Gilbert",6,1010,8068,0,"Gd","RL",60,"Gd",5,1,4,0,"TA",200000
"223",1552,"NWAmes",6,713,11475,550,"TA","RL",60,"TA",6,1,3,0,"TA",179900
"224",864,"NAmes",4,864,10500,524,"TA","RL",20,"TA",6,1,2,0,"TA",97000
"225",2392,"NridgHt",10,2392,13472,56,"Ex","RL",20,"Ex",5,1,3,922,"TA",386250
"226",1302,"BrDale",5,630,1680,0,"TA","RM",160,"TA",5,1,3,142,"TA",112000
"227",2520,"NoRidge",7,1203,9950,565,"Gd","RL",60,"Gd",5,1,4,290,"TA",290000
"228",987,"BrDale",6,483,1869,321,"TA","RM",160,"TA",6,1,2,127,"TA",106000
"229",912,"Sawyer",5,912,8521,842,"TA","RL",20,"TA",5,1,3,0,"TA",125000
"230",1555,"Blmngtn",7,1373,3182,16,"Gd","RL",120,"Gd",5,1,2,16,"TA",192500
"231",1194,"NAmes",6,1194,8760,0,"TA","RL",20,"TA",6,1,3,220,"TA",148000
"232",2794,"NoRidge",8,1462,15138,689,"Gd","RL",60,"Ex",5,1,4,506,"TA",403000
"233",987,"BrDale",6,483,1680,0,"TA","RM",160,"TA",5,1,2,297,"TA",94500
"234",894,"CollgCr",5,894,10650,182,"TA","RL",20,"TA",6,1,3,0,"TA",128200
"235",1960,"Gilbert",6,860,7851,625,"Gd","RL",60,"Gd",5,1,4,NA,"TA",216500
"236",987,"BrDale",6,483,1680,358,"TA","RM",160,"TA",3,1,2,604,"TA",89500
"237",1414,"CollgCr",7,1414,8773,24,"Gd","RL",20,"Gd",5,1,3,98,"TA",185500
"238",1744,"SawyerW",7,996,9453,402,"Gd","RL",60,"Gd",7,1,3,0,"TA",194500
"239",1694,"NridgHt",8,1694,12030,0,"Ex","RL",20,"Gd",5,1,3,254,"TA",318000
"240",1487,"Edwards",6,735,8741,94,"TA","RL",50,"TA",4,1,3,0,"TA",113000
"241",1566,"Somerst",8,1566,9000,1078,"Gd","FV",20,"Gd",5,1,3,36,"TA",262500
"242",866,"OldTown",5,686,3880,329,"TA","RM",30,"Gd",9,1,2,0,"",110500
"243",1440,"OldTown",5,540,5000,0,"TA","RM",50,"TA",4,1,3,0,"Fa",79000
"244",1217,"SawyerW",6,626,10762,0,"TA","RL",160,"TA",6,1,3,0,"TA",120000
"245",2110,"SawyerW",7,948,8880,695,"Gd","RL",60,"Gd",5,1,3,0,"TA",205000
"246",1872,"NWAmes",7,1845,10400,929,"TA","RL",20,"TA",5,1,3,102,"TA",241500
"247",1928,"OldTown",6,1020,9142,0,"TA","RM",190,"Fa",8,2,4,0,"Po",137000
"248",1375,"NAmes",6,1367,11310,0,"TA","RL",20,"TA",5,1,2,0,"TA",140000
"249",1668,"CollgCr",7,840,11317,0,"Gd","RL",60,"Gd",5,1,3,101,"TA",180000
"250",2144,"ClearCr",6,1444,159000,697,"Gd","RL",50,"Gd",7,1,4,472,"TA",277000
"251",1306,"BrkSide",3,728,5350,0,"TA","RL",30,"Fa",2,1,3,0,"",76500
"252",1625,"Crawfor",8,1573,4750,1573,"Gd","RM",120,"Gd",5,1,2,481,"TA",235000
"253",1640,"SawyerW",6,798,8366,0,"Gd","RL",60,"Gd",5,1,3,0,"TA",173000
"254",1302,"NAmes",6,1302,9350,270,"TA","RL",80,"Gd",7,1,3,108,"TA",158000
"255",1314,"NAmes",5,1314,8400,922,"TA","RL",20,"TA",6,1,3,0,"TA",145000
"256",2291,"Gilbert",7,975,8738,0,"Gd","RL",60,"Gd",5,1,4,302,"TA",230000
"257",1728,"Somerst",6,864,8791,503,"Gd","FV",60,"Gd",5,1,3,0,"TA",207500
"258",1604,"CollgCr",7,1604,8814,1334,"Gd","RL",20,"Gd",5,1,3,180,"TA",220000
"259",1792,"CollgCr",7,963,12435,361,"Gd","RL",60,"Gd",5,1,3,172,"TA",231500
"260",882,"OldTown",5,0,12702,0,"TA","RM",20,"TA",5,1,2,0,"TA",97000
"261",1382,"NAmes",6,1362,19296,672,"TA","RL",80,"TA",5,1,3,399,"TA",176000
"262",2574,"CollgCr",8,1482,9588,0,"Gd","RL",60,"Ex",5,1,3,270,"TA",276000
"263",1212,"Sawyer",6,506,8471,506,"TA","RL",80,"TA",7,1,3,46,"TA",151000
"264",1316,"OldTown",5,926,5500,234,"TA","RM",50,"TA",7,1,3,0,"TA",130000
"265",764,"OldTown",5,680,5232,0,"TA","RM",30,"TA",5,1,2,0,"TA",73000
"266",1422,"NWAmes",6,1422,12090,588,"TA","RL",20,"Gd",6,1,3,210,"TA",175500
"267",1511,"Gilbert",6,802,11207,714,"TA","RL",60,"TA",5,1,3,0,"TA",185000
"268",2192,"SWISU",5,720,8400,378,"TA","RL",75,"Gd",8,1,4,0,"TA",179500
"269",778,"IDOTRR",5,740,6900,403,"TA","RM",30,"TA",6,1,2,0,"Ex",120500
"270",1113,"Edwards",6,1143,7917,751,"TA","RL",20,"TA",7,1,3,174,"TA",148000
